   Elapsed time	   ECG1	   ECG2
   hh:mm:ss.mmm	   (mV)	   (mV)
       0:00.000	 -0.165	 -0.325
       0:00.008	 -0.155	 -0.325
       0:00.016	 -0.195	 -0.305
       0:00.023	 -0.205	 -0.305
       0:00.031	 -0.185	 -0.295
       0:00.039	 -0.155	 -0.265
       0:00.047	 -0.135	 -0.235
       0:00.055	 -0.095	 -0.185
       0:00.063	 -0.075	 -0.135
       0:00.070	 -0.065	 -0.095
       0:00.078	 -0.065	 -0.055
       0:00.086	 -0.125	 -0.015
       0:00.094	 -0.125	  0.005
       0:00.102	 -0.125	 -0.045
       0:00.109	 -0.115	 -0.015
       0:00.117	 -0.125	 -0.005
       0:00.125	 -0.165	 -0.015
       0:00.133	 -0.115	 -0.025
       0:00.141	 -0.145	 -0.025
       0:00.148	 -0.115	 -0.025
       0:00.156	 -0.135	 -0.015
       0:00.164	 -0.135	  0.005
       0:00.172	 -0.125	 -0.035
       0:00.180	 -0.175	 -0.025
       0:00.188	 -0.145	 -0.025
       0:00.195	 -0.125	 -0.025
       0:00.203	 -0.145	 -0.025
       0:00.211	 -0.145	 -0.005
       0:00.219	 -0.135	 -0.035
       0:00.227	 -0.165	 -0.045
       0:00.234	 -0.155	 -0.025
       0:00.242	 -0.095	 -0.005
       0:00.250	 -0.105	  0.015
       0:00.258	 -0.075	  0.035
       0:00.266	 -0.085	  0.055
       0:00.273	  0.025	  0.005
       0:00.281	  0.025	 -0.055
       0:00.289	 -0.025	 -0.065
       0:00.297	 -0.085	 -0.065
       0:00.305	 -0.115	 -0.055
       0:00.313	 -0.145	 -0.025
       0:00.320	 -0.125	 -0.005
       0:00.328	 -0.155	 -0.045
       0:00.336	 -0.205	 -0.065
       0:00.344	 -0.215	 -0.065
       0:00.352	 -0.215	 -0.055
       0:00.359	 -0.165	 -0.055
       0:00.367	 -0.165	 -0.055
       0:00.375	 -0.155	  0.005
       0:00.383	 -0.615	  0.125
       0:00.391	 -0.855	 -0.035
       0:00.398	 -0.185	 -0.335
       0:00.406	  1.295	 -0.385
       0:00.414	  2.575	 -0.145
       0:00.422	  2.675	  0.305
       0:00.430	  2.445	  0.625
       0:00.438	  0.735	 -0.665
       0:00.445	 -0.415	 -0.735
       0:00.453	 -0.295	 -0.225
       0:00.461	 -0.285	 -0.075
       0:00.469	 -0.345	 -0.085
       0:00.477	 -0.365	 -0.095
       0:00.484	 -0.345	 -0.085
       0:00.492	 -0.305	 -0.095
       0:00.500	 -0.315	 -0.115
       0:00.508	 -0.305	 -0.095
       0:00.516	 -0.265	 -0.105
       0:00.523	 -0.235	 -0.115
       0:00.531	 -0.265	 -0.115
       0:00.539	 -0.245	 -0.135
       0:00.547	 -0.215	 -0.145
       0:00.555	 -0.195	 -0.135
       0:00.563	 -0.175	 -0.185
       0:00.570	 -0.185	 -0.175
       0:00.578	 -0.155	 -0.205
       0:00.586	 -0.125	 -0.235
       0:00.594	 -0.145	 -0.265
       0:00.602	 -0.125	 -0.265
       0:00.609	 -0.145	 -0.265
       0:00.617	 -0.155	 -0.265
       0:00.625	 -0.185	 -0.295
       0:00.633	 -0.175	 -0.275
       0:00.641	 -0.175	 -0.255
       0:00.648	 -0.165	 -0.245
       0:00.656	 -0.165	 -0.225
       0:00.664	 -0.115	 -0.175
       0:00.672	 -0.065	 -0.135
       0:00.680	 -0.095	 -0.105
       0:00.688	 -0.115	 -0.085
       0:00.695	 -0.075	 -0.055
       0:00.703	 -0.115	 -0.055
       0:00.711	 -0.155	 -0.045
       0:00.719	 -0.105	 -0.065
       0:00.727	 -0.125	 -0.045
       0:00.734	 -0.135	 -0.035
       0:00.742	 -0.125	 -0.045
       0:00.750	 -0.115	 -0.045
       0:00.758	 -0.105	 -0.035
       0:00.766	 -0.135	 -0.025
       0:00.773	 -0.135	 -0.035
       0:00.781	 -0.135	 -0.055
       0:00.789	 -0.145	 -0.055
       0:00.797	 -0.125	 -0.035
       0:00.805	 -0.115	 -0.055
       0:00.813	 -0.135	 -0.065
       0:00.820	 -0.135	 -0.065
       0:00.828	 -0.165	 -0.055
       0:00.836	 -0.155	 -0.035
       0:00.844	 -0.115	 -0.045
       0:00.852	 -0.085	 -0.005
       0:00.859	 -0.055	  0.035
       0:00.867	 -0.055	  0.055
       0:00.875	 -0.045	  0.025
       0:00.883	  0.065	 -0.055
       0:00.891	  0.005	 -0.055
       0:00.898	 -0.015	 -0.085
       0:00.906	 -0.055	 -0.065
       0:00.914	 -0.115	 -0.045
       0:00.922	 -0.135	 -0.015
       0:00.930	 -0.135	 -0.055
       0:00.938	 -0.175	 -0.075
       0:00.945	 -0.205	 -0.075
       0:00.953	 -0.225	 -0.055
       0:00.961	 -0.175	 -0.055
       0:00.969	 -0.175	 -0.055
       0:00.977	 -0.155	 -0.055
       0:00.984	 -0.255	  0.105
       0:00.992	 -0.875	  0.165
       0:01.000	 -0.645	 -0.105
       0:01.008	  0.645	 -0.445
       0:01.016	  2.315	 -0.245
       0:01.023	  2.925	  0.045
       0:01.031	  2.725	  0.445
       0:01.039	  1.225	 -0.675
       0:01.047	 -0.185	 -0.785
       0:01.055	 -0.275	 -0.215
       0:01.063	 -0.275	 -0.035
       0:01.070	 -0.285	 -0.025
       0:01.078	 -0.285	 -0.045
       0:01.086	 -0.335	 -0.045
       0:01.094	 -0.305	 -0.045
       0:01.102	 -0.285	 -0.035
       0:01.109	 -0.275	 -0.055
       0:01.117	 -0.275	 -0.055
       0:01.125	 -0.245	 -0.065
       0:01.133	 -0.245	 -0.045
       0:01.141	 -0.225	 -0.075
       0:01.148	 -0.195	 -0.085
       0:01.156	 -0.205	 -0.095
       0:01.164	 -0.165	 -0.085
       0:01.172	 -0.125	 -0.105
       0:01.180	 -0.135	 -0.135
       0:01.188	 -0.105	 -0.145
       0:01.195	 -0.115	 -0.165
       0:01.203	 -0.115	 -0.175
       0:01.211	 -0.095	 -0.185
       0:01.219	 -0.155	 -0.215
       0:01.227	 -0.165	 -0.235
       0:01.234	 -0.185	 -0.205
       0:01.242	 -0.185	 -0.205
       0:01.250	 -0.175	 -0.195
       0:01.258	 -0.195	 -0.175
       0:01.266	 -0.135	 -0.115
       0:01.273	 -0.105	 -0.095
       0:01.281	 -0.105	 -0.095
       0:01.289	 -0.095	 -0.055
       0:01.297	 -0.095	 -0.015
       0:01.305	 -0.115	 -0.005
       0:01.313	 -0.105	 -0.025
       0:01.320	 -0.115	 -0.005
       0:01.328	 -0.115	 -0.015
       0:01.336	 -0.125	 -0.025
       0:01.344	 -0.115	 -0.025
       0:01.352	 -0.115	 -0.015
       0:01.359	 -0.115	 -0.005
       0:01.367	 -0.115	 -0.005
       0:01.375	 -0.105	 -0.045
       0:01.383	 -0.105	 -0.055
       0:01.391	 -0.095	 -0.025
       0:01.398	 -0.125	 -0.015
       0:01.406	 -0.115	 -0.045
       0:01.414	 -0.105	 -0.045
       0:01.422	 -0.095	 -0.015
       0:01.430	 -0.105	 -0.025
       0:01.438	 -0.105	 -0.055
       0:01.445	 -0.105	 -0.035
       0:01.453	 -0.075	 -0.015
       0:01.461	 -0.045	  0.015
       0:01.469	 -0.035	  0.045
       0:01.477	 -0.025	  0.045
       0:01.484	  0.065	  0.025
       0:01.492	  0.015	 -0.045
       0:01.500	 -0.055	 -0.085
       0:01.508	 -0.095	 -0.055
       0:01.516	 -0.045	 -0.055
       0:01.523	 -0.095	 -0.025
       0:01.531	 -0.145	 -0.035
       0:01.539	 -0.155	 -0.025
       0:01.547	 -0.155	 -0.045
       0:01.555	 -0.185	 -0.055
       0:01.563	 -0.185	 -0.045
       0:01.570	 -0.165	 -0.025
       0:01.578	 -0.155	 -0.025
       0:01.586	 -0.155	  0.045
       0:01.594	 -0.685	  0.225
       0:01.602	 -0.845	  0.035
       0:01.609	  0.055	 -0.415
       0:01.617	  1.645	 -0.265
       0:01.625	  2.725	 -0.195
       0:01.633	  2.855	  0.465
       0:01.641	  2.255	 -0.125
       0:01.648	  0.495	 -0.965
       0:01.656	 -0.255	 -0.465
       0:01.664	 -0.215	 -0.025
       0:01.672	 -0.255	  0.005
       0:01.680	 -0.295	 -0.015
       0:01.688	 -0.305	 -0.035
       0:01.695	 -0.335	 -0.015
       0:01.703	 -0.305	 -0.035
       0:01.711	 -0.345	 -0.045
       0:01.719	 -0.305	 -0.045
       0:01.727	 -0.265	 -0.035
       0:01.734	 -0.265	 -0.055
       0:01.742	 -0.265	 -0.065
       0:01.750	 -0.205	 -0.065
       0:01.758	 -0.215	 -0.065
       0:01.766	 -0.185	 -0.075
       0:01.773	 -0.165	 -0.095
       0:01.781	 -0.135	 -0.105
       0:01.789	 -0.155	 -0.125
       0:01.797	 -0.105	 -0.125
       0:01.805	 -0.125	 -0.155
       0:01.813	 -0.145	 -0.165
       0:01.820	 -0.135	 -0.195
       0:01.828	 -0.115	 -0.195
       0:01.836	 -0.175	 -0.195
       0:01.844	 -0.195	 -0.215
       0:01.852	 -0.215	 -0.205
       0:01.859	 -0.185	 -0.165
       0:01.867	 -0.185	 -0.135
       0:01.875	 -0.155	 -0.105
       0:01.883	 -0.125	 -0.055
       0:01.891	 -0.125	 -0.045
       0:01.898	 -0.135	 -0.025
       0:01.906	 -0.105	 -0.005
       0:01.914	 -0.125	  0.025
       0:01.922	 -0.135	  0.005
       0:01.930	 -0.165	  0.015
       0:01.938	 -0.175	  0.005
       0:01.945	 -0.175	  0.005
       0:01.953	 -0.095	  0.025
       0:01.961	 -0.125	  0.035
       0:01.969	 -0.135	  0.035
       0:01.977	 -0.145	  0.015
       0:01.984	 -0.125	  0.015
       0:01.992	 -0.115	  0.005
       0:02.000	 -0.095	  0.005
       0:02.008	 -0.125	  0.005
       0:02.016	 -0.155	  0.015
       0:02.023	 -0.125	  0.015
       0:02.031	 -0.125	  0.005
       0:02.039	 -0.165	  0.005
       0:02.047	 -0.135	  0.025
       0:02.055	 -0.115	  0.015
       0:02.063	 -0.055	  0.065
       0:02.070	 -0.035	  0.065
       0:02.078	 -0.085	  0.085
       0:02.086	 -0.045	  0.075
       0:02.094	  0.045	 -0.005
       0:02.102	 -0.005	 -0.015
       0:02.109	 -0.045	 -0.015
       0:02.117	 -0.125	 -0.025
       0:02.125	 -0.145	 -0.025
       0:02.133	 -0.115	  0.035
       0:02.141	 -0.135	  0.005
       0:02.148	 -0.175	 -0.005
       0:02.156	 -0.225	 -0.015
       0:02.164	 -0.205	 -0.015
       0:02.172	 -0.205	  0.005
       0:02.180	 -0.245	  0.005
       0:02.188	 -0.185	  0.005
       0:02.195	 -0.195	  0.105
       0:02.203	 -0.835	  0.165
       0:02.211	 -0.775	 -0.055
       0:02.219	  0.295	 -0.425
       0:02.227	  2.085	 -0.215
       0:02.234	  2.885	  0.125
       0:02.242	  2.645	  0.545
       0:02.250	  1.575	 -0.185
       0:02.258	  0.005	 -0.575
       0:02.266	 -0.305	 -0.235
       0:02.273	 -0.265	 -0.015
       0:02.281	 -0.315	 -0.005
       0:02.289	 -0.355	 -0.015
       0:02.297	 -0.355	  0.015
       0:02.305	 -0.365	 -0.005
       0:02.313	 -0.375	 -0.015
       0:02.320	 -0.335	 -0.005
       0:02.328	 -0.295	 -0.015
       0:02.336	 -0.285	 -0.005
       0:02.344	 -0.285	 -0.035
       0:02.352	 -0.265	 -0.025
       0:02.359	 -0.255	 -0.025
       0:02.367	 -0.245	 -0.025
       0:02.375	 -0.205	 -0.045
       0:02.383	 -0.175	 -0.055
       0:02.391	 -0.185	 -0.055
       0:02.398	 -0.145	 -0.075
       0:02.406	 -0.155	 -0.105
       0:02.414	 -0.175	 -0.125
       0:02.422	 -0.145	 -0.115
       0:02.430	 -0.215	 -0.145
       0:02.438	 -0.215	 -0.155
       0:02.445	 -0.215	 -0.155
       0:02.453	 -0.265	 -0.145
       0:02.461	 -0.245	 -0.145
       0:02.469	 -0.225	 -0.125
       0:02.477	 -0.175	 -0.115
       0:02.484	 -0.185	 -0.075
       0:02.492	 -0.175	 -0.045
       0:02.500	 -0.175	 -0.025
       0:02.508	 -0.175	 -0.005
       0:02.516	 -0.165	  0.015
       0:02.523	 -0.175	  0.025
       0:02.531	 -0.185	  0.015
       0:02.539	 -0.205	  0.015
       0:02.547	 -0.185	  0.025
       0:02.555	 -0.185	  0.035
       0:02.563	 -0.185	  0.005
       0:02.570	 -0.165	  0.015
       0:02.578	 -0.175	  0.045
       0:02.586	 -0.195	  0.015
       0:02.594	 -0.165	  0.005
       0:02.602	 -0.185	  0.025
       0:02.609	 -0.195	  0.015
       0:02.617	 -0.165	  0.025
       0:02.625	 -0.175	  0.005
       0:02.633	 -0.175	  0.015
       0:02.641	 -0.175	  0.025
       0:02.648	 -0.185	  0.015
       0:02.656	 -0.185	  0.005
       0:02.664	 -0.195	  0.015
       0:02.672	 -0.205	  0.025
       0:02.680	 -0.125	  0.035
       0:02.688	 -0.125	  0.055
